j,t,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
1030400101014,2011,0,1,0,2,0,1,0,0,0,1,0,0,1,0
1030400101027,2011,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1030400101040,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1030400101054,2011,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1030400101067,2011,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1030400101077,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1030400101085,2011,0,0,2,0,0,0,0,0,1,0,0,1,0,0
1030400101104,2011,0,0,0,0,0,0,0,0,1,2,1,0,1,0
1030400101115,2011,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1030400101120,2011,0,2,0,0,0,1,0,0,0,0,0,0,1,1
1030400101135,2011,0,0,0,2,0,1,0,0,0,0,0,0,1,0
1030501202001,2011,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1030501202022,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1030501202036,2011,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1030501202043,2011,0,0,1,0,0,1,0,0,1,1,1,0,1,0
1030501202059,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030501202065,2011,0,1,0,0,0,0,2,0,0,1,2,0,1,0
1030501202086,2011,0,1,0,0,0,1,0,0,1,3,0,0,1,0
1030501202107,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1030501202130,2011,0,1,2,0,0,0,1,0,0,0,2,1,1,0
1030501202137,2011,0,0,1,1,0,0,0,0,1,0,0,0,0,0
1030501202152,2011,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1030501202174,2011,0,0,2,0,1,0,1,0,1,0,1,0,1,0
1030600608001,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1030600608021,2011,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1030600608036,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1030600608043,2011,0,1,0,2,1,0,0,0,0,1,0,0,1,0
1030600608062,2011,0,2,0,0,0,1,0,0,0,1,0,1,0,0
1030600608088,2011,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1030600608112,2011,0,0,1,0,0,1,0,0,0,0,2,0,1,0
1030600608122,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1030600608133,2011,0,0,2,1,1,0,1,0,0,0,0,1,0,1
1030600608152,2011,0,0,1,1,0,0,0,0,1,0,1,0,1,0
1030600608174,2011,0,0,0,1,1,0,1,0,0,0,0,0,1,0
1030600608196,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030700116004,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1030700116016,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1030700116028,2011,0,0,1,1,1,0,0,0,0,0,0,0,1,0
1030700116040,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1030700116052,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1030700116064,2011,0,0,0,0,0,0,0,0,1,0,1,1,1,0
1030700116076,2011,0,0,0,2,0,0,0,0,0,0,1,0,1,0
1030700116088,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1030700116100,2011,0,2,0,0,0,1,0,0,0,0,0,1,0,0
1030700116112,2011,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1030700116124,2011,0,0,1,0,0,0,0,0,1,0,1,0,1,0
1030700116136,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1030700709006,2011,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1030700709025,2011,0,0,0,1,0,1,0,0,1,1,0,0,1,0
1030700709043,2011,0,1,1,1,0,0,1,0,0,2,0,0,1,0
1030700709061,2011,0,0,0,2,0,0,0,0,0,0,0,0,1,0
1030700709079,2011,0,0,1,0,0,0,1,0,0,1,1,0,1,0
1030700709097,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1030700709115,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030700709133,2011,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1030700709151,2011,0,1,0,0,0,1,0,0,0,0,0,1,0,0
1030700709166,2011,0,1,0,0,0,1,0,0,0,1,0,1,0,0
1030700709167,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1030700709171,2011,0,1,0,0,1,0,1,0,1,0,0,0,0,1
1040101204003,2011,0,1,1,0,1,1,0,0,1,0,1,0,1,0
1040101204009,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
