t,j, Field Pea,Banana,Barley,Beef,Beer,Boye/Yam,Bula,Butter/ghee,Cassava,Chat / Kat,Cheese,Chick Pea,Coffee,Eggs,Field Pea,Fish,Goat & mutton meat,Godere,Green chili pepper (kariya),"Greens (kale, cabbage, etc.)",Ground nuts,Haricot Beans,Horsebeans,Kocho,Lentils,Linseed,Maize,Meat,Milk,Millet,Niger Seed,Oils (processed),Onion,Orange,Other cereal (SPECIFY),Other fruit (SPECIFY),Other prepared food and consumed at Home,Other pulse or nut (SPECIFY),Other seed (SPECIFY),Other tuber or stem (SPECIFY),Other vegetable (SPECIFY),Pasta/Maccaroni,Potato,Poultry,PuUrchased Injera,Purchased Bread or Biscuits,Red pepper (berbere),Salt,Soft drinks/Soda,Sorghum,Sugar,Sweet potato,Tea,Teff,Tella,Tomato,Wheat
2011,1010300106004,NaN,5,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,5,0,20,0,NaN,NaN,NaN,NaN,NaN,NaN,0,20,0,0,4,0,80,0,0,0,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0.5,NaN,0,0,NaN,NaN,37,NaN,NaN,0
2011,1010300106016,NaN,0,10,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,32.5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,2,50,4,0,0,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,0.5,NaN,24,50,NaN,NaN,32,NaN,NaN,168
2011,1010300106028,NaN,0,20,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,80,0,0,0,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,0.25,NaN,0,0,NaN,NaN,0,NaN,NaN,0
2011,1010300106040,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,15,15,0,NaN,NaN,NaN,NaN,NaN,NaN,0,30,0,0,0,6,40,0,0,0,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0.5,NaN,8,0,NaN,NaN,26,NaN,NaN,0
2011,1010300106052,NaN,16,0,NaN,NaN,NaN,NaN,NaN,NaN,0,8,0,32.5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,5,0,0,0,8,240,0,0,0,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0.5,NaN,16,0,NaN,NaN,48,NaN,NaN,8
2011,1010300106064,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,5,31,20,0,NaN,NaN,NaN,NaN,NaN,NaN,0,40,0,0,0,0,40,9,24,0,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0.5,NaN,43,4.5,NaN,NaN,85,NaN,NaN,29
2011,1010300106076,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,13.75,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,11,0,0,0,0,NaN,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0.5,NaN,16,4.25,NaN,NaN,32,NaN,NaN,0
2011,1010300106088,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,30,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,40,0,14,0,0,0,0,0,0,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,NaN,NaN,NaN,NaN,0.5,NaN,0,17,NaN,NaN,85,NaN,NaN,64
2011,1010300106100,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,8,5,30,21,0,NaN,NaN,NaN,NaN,NaN,NaN,0,20,0,0,0,32,160,24,0,0,NaN,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,0.5,NaN,0,4.25,NaN,NaN,64,NaN,NaN,32
2011,1010300106112,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,32.5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,80,0,16,0,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0.5,NaN,32,34,NaN,NaN,64,NaN,NaN,0
